iter	Passed	Remaining
0	4	4221
1	7	3725
2	12	4217
3	15	3855
4	18	3650
5	20	3464
6	23	3322
7	26	3232
8	28	3136
9	30	3064
10	33	2999
11	35	2942
12	38	2897
13	40	2842
14	42	2816
15	45	2784
16	47	2748
17	50	2730
18	52	2709
19	54	2690
20	57	2669
21	59	2658
22	62	2641
23	64	2627
24	67	2619
25	69	2607
26	71	2592
27	74	2582
28	76	2569
29	79	2562
30	81	2553
31	84	2545
32	86	2541
33	89	2537
34	92	2540
35	94	2536
36	97	2528
37	99	2522
38	102	2517
39	104	2512
40	107	2510
41	109	2505
42	112	2506
43	114	2495
44	117	2492
45	120	2489
46	122	2480
47	124	2476
48	127	2473
49	130	2470
50	132	2471
51	135	2468
52	137	2462
53	140	2456
54	142	2449
55	144	2442
56	147	2438
57	150	2437
58	152	2430
59	155	2434
60	159	2455
61	161	2450
62	164	2448
63	169	2473
64	172	2483
65	176	2491
66	178	2484
67	181	2492
68	184	2490
69	187	2490
70	191	2503
71	195	2514
72	199	2531
73	202	2532
74	205	2540
75	209	2541
76	212	2542
77	216	2558
78	219	2559
79	223	2568
80	226	2568
81	229	2569
82	233	2577
83	236	2577
84	240	2585
85	243	2584
86	245	2580
87	249	2585
88	252	2583
89	254	2577
90	258	2580
91	261	2577
92	264	2582
93	267	2580
94	270	2578
95	274	2582
96	277	2579
97	280	2584
98	283	2582
99	287	2583
100	290	2581
101	292	2576
102	295	2571
103	297	2563
104	299	2556
105	302	2550
106	305	2545
107	307	2540
108	310	2536
109	312	2530
110	315	2524
111	317	2517
112	320	2514
113	322	2510
114	325	2503
115	327	2497
116	330	2491
117	332	2486
118	335	2481
119	337	2474
120	339	2467
121	342	2465
122	346	2467
123	348	2465
124	352	2464
125	354	2461
126	357	2457
127	360	2452
128	362	2446
129	364	2440
130	366	2433
131	369	2428
132	372	2430
133	375	2429
134	378	2428
135	381	2426
136	385	2428
137	388	2429
138	391	2426
139	394	2423
140	397	2420
141	399	2416
142	402	2413
143	405	2409
144	407	2405
145	410	2400
146	413	2396
147	415	2392
148	418	2389
149	421	2386
150	423	2382
151	426	2377
152	428	2372
153	431	2368
154	433	2365
155	436	2362
156	439	2359
157	442	2358
158	445	2356
159	448	2353
160	451	2352
161	454	2349
162	457	2347
163	460	2345
164	463	2343
165	466	2341
166	468	2337
167	471	2334
168	474	2332
169	476	2328
170	479	2323
171	481	2319
172	484	2316
173	486	2311
174	489	2309
175	492	2305
176	495	2301
177	497	2298
178	500	2294
179	502	2290
180	505	2286
181	507	2281
182	510	2277
183	512	2272
184	514	2268
185	517	2263
186	519	2259
187	521	2254
188	524	2250
189	526	2246
190	529	2243
191	531	2238
192	534	2234
193	536	2230
194	539	2227
195	542	2223
196	544	2219
197	547	2215
198	549	2211
199	551	2207
200	554	2203
201	556	2200
202	559	2195
203	561	2191
204	564	2189
205	567	2188
206	570	2187
207	573	2185
208	576	2183
209	580	2182
210	583	2180
211	586	2179
212	589	2178
213	592	2177
214	595	2175
215	598	2173
216	601	2171
217	604	2169
218	607	2167
219	610	2165
220	613	2163
221	616	2162
222	620	2160
223	623	2158
224	626	2156
225	629	2154
226	632	2152
227	635	2150
228	638	2148
229	641	2146
230	643	2143
231	647	2144
232	650	2141
233	653	2138
234	656	2137
235	659	2134
236	662	2133
237	665	2130
238	667	2126
239	671	2125
240	674	2125
241	679	2127
242	682	2125
243	686	2126
244	689	2126
245	692	2123
246	696	2122
247	699	2120
248	703	2121
249	706	2119
250	709	2116
251	712	2116
252	715	2113
253	719	2111
254	722	2109
255	724	2106
256	727	2103
257	730	2099
258	732	2095
259	735	2092
260	737	2088
261	739	2083
262	741	2079
263	745	2077
264	747	2074
265	750	2070
266	753	2068
267	755	2064
268	758	2061
269	762	2060
270	764	2057
271	768	2055
272	770	2052
273	773	2048
274	777	2048
275	780	2047
276	784	2046
277	787	2045
278	790	2042
279	792	2038
280	795	2035
281	797	2031
282	800	2029
283	804	2027
284	806	2023
285	810	2022
286	812	2019
287	815	2016
288	818	2012
289	820	2009
290	823	2006
291	826	2003
292	828	1999
293	831	1997
294	834	1993
295	837	1990
296	839	1987
297	843	1986
298	846	1985
299	850	1984
300	854	1983
301	857	1982
302	861	1981
303	865	1981
304	869	1980
305	872	1978
306	877	1980
307	880	1977
308	883	1974
309	885	1971
310	888	1967
311	891	1966
312	894	1964
313	897	1960
314	900	1957
315	906	1962
316	909	1959
317	912	1956
318	914	1953
319	917	1949
320	920	1946
321	922	1942
322	925	1939
323	927	1935
324	930	1932
325	932	1928
326	935	1925
327	938	1922
328	940	1918
329	943	1915
330	945	1911
331	948	1908
332	951	1905
333	953	1902
334	956	1898
335	959	1895
336	961	1892
337	964	1888
338	967	1885
339	969	1882
340	972	1879
341	975	1876
342	978	1875
343	982	1872
344	984	1869
345	987	1865
346	989	1862
347	992	1858
348	994	1855
349	997	1852
350	1000	1849
351	1002	1846
352	1005	1843
353	1008	1840
354	1011	1838
355	1014	1835
356	1017	1832
357	1019	1829
358	1022	1825
359	1025	1823
360	1028	1819
361	1031	1817
362	1033	1814
363	1036	1811
364	1039	1808
365	1042	1805
366	1045	1802
367	1047	1799
368	1050	1796
369	1053	1793
370	1056	1790
371	1059	1787
372	1061	1785
373	1064	1782
374	1068	1780
375	1070	1777
376	1073	1774
377	1076	1771
378	1080	1769
379	1083	1767
380	1086	1764
381	1088	1761
382	1091	1757
383	1093	1753
384	1095	1750
385	1098	1747
386	1100	1743
387	1103	1740
388	1106	1737
389	1109	1735
390	1112	1733
391	1115	1730
392	1118	1728
393	1121	1725
394	1124	1722
395	1127	1720
396	1130	1717
397	1133	1714
398	1137	1713
399	1140	1710
400	1144	1709
401	1147	1706
402	1150	1704
403	1154	1703
404	1157	1701
405	1161	1699
406	1164	1696
407	1168	1695
408	1171	1692
409	1174	1690
410	1178	1689
411	1181	1686
412	1185	1684
413	1187	1680
414	1189	1677
415	1192	1674
416	1195	1671
417	1198	1668
418	1201	1665
419	1203	1662
420	1206	1658
421	1209	1656
422	1212	1653
423	1215	1650
424	1218	1648
425	1221	1645
426	1225	1644
427	1228	1641
428	1231	1639
429	1235	1637
430	1238	1635
431	1242	1633
432	1244	1629
433	1247	1626
434	1250	1624
435	1252	1620
436	1255	1617
437	1259	1615
438	1262	1612
439	1265	1610
440	1268	1608
441	1273	1607
442	1276	1605
443	1280	1603
444	1283	1600
445	1285	1597
446	1288	1594
447	1291	1591
448	1294	1588
449	1297	1586
450	1300	1583
451	1303	1580
452	1306	1577
453	1310	1575
454	1313	1573
455	1316	1570
456	1319	1567
457	1323	1565
458	1326	1563
459	1329	1560
460	1332	1558
461	1335	1555
462	1338	1552
463	1341	1550
464	1344	1547
465	1348	1544
466	1351	1542
467	1354	1539
468	1357	1537
469	1360	1534
470	1364	1532
471	1368	1530
472	1372	1529
473	1375	1526
474	1378	1523
475	1382	1521
476	1386	1520
477	1390	1518
478	1394	1516
479	1397	1514
480	1402	1512
481	1404	1509
482	1407	1506
483	1411	1504
484	1414	1502
485	1418	1500
486	1421	1497
487	1424	1494
488	1426	1491
489	1430	1488
490	1432	1485
491	1435	1482
492	1438	1479
493	1440	1475
494	1442	1471
495	1445	1468
496	1447	1465
497	1449	1461
498	1452	1458
499	1454	1454
500	1456	1451
501	1459	1447
502	1461	1443
503	1464	1441
504	1467	1438
505	1470	1435
506	1473	1432
507	1476	1429
508	1478	1426
509	1481	1423
510	1483	1419
511	1486	1416
512	1489	1413
513	1492	1411
514	1495	1408
515	1498	1405
516	1500	1401
517	1502	1398
518	1505	1395
519	1508	1392
520	1511	1389
521	1515	1387
522	1517	1384
523	1520	1381
524	1523	1377
525	1525	1374
526	1529	1372
527	1532	1369
528	1535	1366
529	1538	1364
530	1541	1361
531	1544	1358
532	1548	1356
533	1550	1353
534	1553	1350
535	1556	1347
536	1559	1344
537	1562	1341
538	1566	1339
539	1569	1337
540	1572	1334
541	1574	1330
542	1580	1329
543	1582	1326
544	1585	1323
545	1587	1320
546	1590	1317
547	1594	1314
548	1597	1312
549	1600	1309
550	1602	1305
551	1605	1302
552	1608	1300
553	1612	1298
554	1614	1294
555	1617	1291
556	1619	1288
557	1622	1285
558	1626	1282
559	1629	1280
560	1632	1277
561	1635	1274
562	1638	1271
563	1641	1269
564	1645	1266
565	1647	1263
566	1651	1261
567	1654	1258
568	1656	1254
569	1660	1252
570	1662	1249
571	1666	1247
572	1669	1244
573	1673	1242
574	1676	1239
575	1679	1236
576	1682	1233
577	1685	1230
578	1687	1227
579	1691	1224
580	1694	1222
581	1697	1219
582	1701	1217
583	1704	1214
584	1708	1211
585	1711	1209
586	1715	1206
587	1718	1203
588	1720	1200
589	1724	1198
590	1727	1195
591	1729	1192
592	1732	1189
593	1735	1186
594	1738	1183
595	1741	1180
596	1744	1177
597	1747	1174
598	1750	1171
599	1752	1168
600	1755	1165
601	1759	1163
602	1761	1159
603	1764	1156
604	1766	1153
605	1768	1150
606	1771	1146
607	1773	1143
608	1775	1140
609	1777	1136
610	1780	1133
611	1782	1129
612	1784	1126
613	1786	1123
614	1789	1119
615	1791	1116
616	1793	1113
617	1796	1110
618	1798	1107
619	1801	1103
620	1803	1100
621	1806	1097
622	1808	1094
623	1811	1091
624	1813	1088
625	1816	1085
626	1818	1081
627	1821	1078
628	1823	1075
629	1826	1072
630	1828	1069
631	1831	1066
632	1833	1063
633	1835	1059
634	1838	1056
635	1841	1053
636	1843	1050
637	1846	1047
638	1849	1044
639	1851	1041
640	1854	1038
641	1857	1036
642	1860	1033
643	1863	1030
644	1866	1027
645	1868	1024
646	1871	1020
647	1873	1017
648	1875	1014
649	1878	1011
650	1880	1008
651	1882	1004
652	1885	1001
653	1888	998
654	1890	995
655	1893	993
656	1896	990
657	1898	986
658	1901	983
659	1903	980
660	1907	978
661	1909	975
662	1912	972
663	1914	968
664	1917	965
665	1920	962
666	1922	959
667	1925	956
668	1927	953
669	1930	950
670	1932	947
671	1934	944
672	1937	941
673	1939	938
674	1941	935
675	1944	931
676	1946	928
677	1949	925
678	1951	922
679	1954	919
680	1956	916
681	1959	913
682	1961	910
683	1964	907
684	1967	904
685	1969	901
686	1972	898
687	1975	895
688	1979	893
689	1982	890
690	1985	887
691	1988	884
692	1990	882
693	1993	878
694	1997	876
695	1999	873
696	2002	870
697	2005	867
698	2008	864
699	2011	861
700	2014	859
701	2017	856
702	2020	853
703	2023	850
704	2025	847
705	2028	844
706	2031	841
707	2034	839
708	2037	836
709	2039	833
710	2042	830
711	2045	827
712	2048	824
713	2051	821
714	2054	818
715	2057	815
716	2059	813
717	2062	810
718	2065	807
719	2068	804
720	2071	801
721	2074	798
722	2076	795
723	2081	793
724	2085	791
725	2088	788
726	2091	785
727	2094	782
728	2096	779
729	2099	776
730	2102	773
731	2105	770
732	2108	767
733	2110	764
734	2113	762
735	2117	759
736	2120	756
737	2124	754
738	2128	751
739	2132	749
740	2135	746
741	2138	743
742	2141	740
743	2144	737
744	2147	735
745	2150	732
746	2154	729
747	2157	726
748	2160	724
749	2164	721
750	2167	718
751	2170	715
752	2173	712
753	2176	710
754	2179	707
755	2182	704
756	2185	701
757	2189	698
758	2191	695
759	2194	692
760	2198	690
761	2201	687
762	2204	684
763	2207	681
764	2210	678
765	2213	676
766	2216	673
767	2219	670
768	2222	667
769	2225	664
770	2228	661
771	2232	659
772	2235	656
773	2239	653
774	2242	651
775	2245	648
776	2248	645
777	2251	642
778	2254	639
779	2257	636
780	2260	633
781	2263	630
782	2266	628
783	2269	625
784	2272	622
785	2275	619
786	2277	616
787	2280	613
788	2283	610
789	2286	607
790	2288	604
791	2291	601
792	2294	598
793	2297	596
794	2300	593
795	2302	590
796	2305	587
797	2308	584
798	2310	581
799	2313	578
800	2316	575
801	2318	572
802	2321	569
803	2324	566
804	2326	563
805	2329	560
806	2332	557
807	2334	554
808	2336	551
809	2340	548
810	2343	546
811	2346	543
812	2349	540
813	2352	537
814	2354	534
815	2357	531
816	2360	528
817	2363	525
818	2366	522
819	2368	520
820	2371	517
821	2374	514
822	2377	511
823	2379	508
824	2382	505
825	2384	502
826	2387	499
827	2390	496
828	2393	493
829	2395	490
830	2398	487
831	2401	484
832	2403	481
833	2406	478
834	2408	475
835	2411	473
836	2414	470
837	2416	467
838	2419	464
839	2421	461
840	2424	458
841	2427	455
842	2430	452
843	2432	449
844	2435	446
845	2437	443
846	2440	440
847	2444	438
848	2448	435
849	2451	432
850	2454	429
851	2457	426
852	2461	424
853	2465	421
854	2467	418
855	2470	415
