,__reduced__
spd_close_candle1_ma9,9.026587329386628e-06
spd_close_candle1_ma50,5.534277277966307e-05
spd_close_candle1_ma100,0.0001097446412928954
spd_close_candle3_ma9,2.5762195730214756e-05
spd_close_candle3_ma50,0.00016533121344604643
spd_close_candle3_ma100,0.0002853246864912854
spd_close_candle5_ma9,5.484123415844819e-05
spd_close_candle5_ma50,0.00025852923962921205
spd_close_candle5_ma100,0.00042764908867758074
spd_close_candle15_ma9,0.00012607003912733746
spd_close_candle15_ma50,0.0004675703810773799
spd_close_candle15_ma100,0.00046022822254214473
spd_close_candle60_ma9,0.00038864845415154104
spd_close_candle60_ma50,0.00077232020255503
spd_close_candle60_ma100,0.0028996854246399954
spd_close_candle240_ma9,5.546247282359885e-05
spd_close_candle240_ma50,0.008777736236896951
spd_close_candle240_ma100,0.020059952887648218
spd_close_10_lower_maginot,0.018752907988399146
spd_close_10_upper_maginot,0.017480204594668505
spd_close_20_lower_maginot,0.04581322614970345
spd_close_20_upper_maginot,0.016225356823474955
spd_close_50_lower_maginot,0.06318405073504853
spd_close_50_upper_maginot,0.016584883264078698
spd_close_high,-0.00012414920426062097
spd_close_low,0.00012157245886352081
spd_close_3mins_high,-0.00018386033358429578
spd_close_3mins_low,0.00018201786912563767
spd_close_3mins_open,6.236132212952758e-06
spd_close_5mins_high,-0.00023445319271240682
spd_close_5mins_low,0.000231318820920627
spd_close_5mins_open,1.439130145122153e-05
spd_close_15mins_high,-0.00040869525067089186
spd_close_15mins_low,0.00040279572365205685
spd_close_15mins_open,1.75019087025827e-05
spd_close_60mins_high,-0.0007629134307016855
spd_close_60mins_low,0.0008145508272077134
spd_close_60mins_open,0.00010481752143801796
spd_close_240mins_high,-0.0012973949615157194
spd_close_240mins_low,0.0017325322381415086
spd_close_240mins_open,4.4230675081225725e-05
